KodePelanggan,NamaPelanggan,INV,KodeBarang,NamaBarang,Tanggal,Termin,Kuantitas,Satuan,Harga,Penjualan,KategoriPelanggan,Lokasi
C003,UD Sentosa,INV20200101787,B002,Printer Epson,1/1/2020,N15,1,Unit,409202,409202,Distributor,Surabaya
C003,UD Sentosa,INV20200101168,B003,Mouse Logitech,1/1/2020,N15,19,Unit,1558413,29609847,Distributor,Surabaya
C003,UD Sentosa,INV20200102474,B005,Monitor Samsung,1/2/2020,N7,19,Pcs,573244,10891636,Distributor,Surabaya
C005,CV Berkah Abadi,INV20200102978,B003,Mouse Logitech,1/2/2020,N30,17,Pcs,998703,16977951,Grosir,Semarang
C005,CV Berkah Abadi,INV20200103579,B002,Printer Epson,1/3/2020,N7,18,Pcs,465674,8382132,Retail,Semarang
C001,PT Sinar Jaya,INV20200103924,B004,Keyboard Mechanical,1/3/2020,N7,10,Pcs,1927472,19274720,Distributor,Jakarta
C003,UD Sentosa,INV20200103233,B005,Monitor Samsung,1/3/2020,N15,5,Pcs,1626354,8131770,Distributor,Surabaya
C004,PT Makmur Bersama,INV20200104546,B002,Printer Epson,1/4/2020,N15,4,Unit,969915,3879660,Distributor,Medan
C004,PT Makmur Bersama,INV20200104795,B004,Keyboard Mechanical,1/4/2020,N15,15,Pcs,1025667,15385005,Distributor,Medan
C004,PT Makmur Bersama,INV20200104748,B002,Printer Epson,1/4/2020,N30,14,Pcs,1857314,26002396,Retail,Medan
C005,CV Berkah Abadi,INV20200104889,B005,Monitor Samsung,1/4/2020,N30,8,Pcs,647206,5177648,Grosir,Semarang
C003,UD Sentosa,INV20200105597,B005,Monitor Samsung,1/5/2020,N30,5,Unit,1159482,5797410,Distributor,Surabaya
C004,PT Makmur Bersama,INV20200105176,B005,Monitor Samsung,1/5/2020,N30,5,Unit,115041,575205,Distributor,Medan
C003,UD Sentosa,INV20200105371,B005,Monitor Samsung,1/5/2020,N15,3,Pcs,470701,1412103,Distributor,Surabaya
